               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.038473,            0.008537,            0.028187,             0.62449,             0.52337,             0.52357,             0.25862,            0.038041,           0.0084516,            0.029712,           0.0061143,           0.0061143,           0.0061143
                  36,             0.03756,           0.0084302,            0.027189,              0.5397,             0.54508,             0.55272,             0.24002,            0.039457,           0.0082636,            0.028148,               0.006,               0.006,               0.006
                  37,            0.037032,           0.0083416,            0.027054,             0.51399,             0.56226,             0.55652,             0.26126,            0.039455,           0.0079954,            0.028076,           0.0058857,           0.0058857,           0.0058857
                  38,            0.037313,           0.0081907,            0.026046,             0.63816,             0.57317,             0.59673,             0.29666,            0.037027,           0.0078266,            0.027262,           0.0057714,           0.0057714,           0.0057714
                  39,            0.037125,           0.0082267,            0.025576,             0.70553,             0.52274,             0.56935,             0.27989,            0.037864,           0.0082587,            0.026199,           0.0056571,           0.0056571,           0.0056571
                  40,            0.037144,           0.0083558,            0.025129,             0.57038,             0.67044,             0.66433,             0.33792,            0.036291,           0.0079605,              0.0259,           0.0055429,           0.0055429,           0.0055429
                  41,            0.037082,           0.0081983,            0.023901,             0.65098,             0.63633,              0.6707,             0.33585,            0.037627,           0.0078419,            0.024923,           0.0054286,           0.0054286,           0.0054286
                  42,            0.036584,           0.0082542,            0.022837,             0.66387,               0.589,             0.63686,             0.31476,            0.036347,           0.0079084,            0.025971,           0.0053143,           0.0053143,           0.0053143
                  43,            0.036446,           0.0080236,            0.022306,             0.56896,             0.66691,             0.65514,              0.3213,            0.035718,           0.0078384,             0.02633,              0.0052,              0.0052,              0.0052
                  44,            0.036542,           0.0080646,            0.021699,             0.61495,             0.64389,             0.62928,             0.32818,            0.037443,           0.0079107,            0.027616,           0.0050857,           0.0050857,           0.0050857
                  45,            0.036266,           0.0080084,            0.021426,             0.68236,              0.6705,              0.7088,             0.36444,            0.036275,           0.0078012,             0.02374,           0.0049714,           0.0049714,           0.0049714
                  46,             0.03633,           0.0079247,            0.020563,              0.6879,             0.62568,             0.67602,             0.34389,            0.037568,           0.0078266,            0.026242,           0.0048571,           0.0048571,           0.0048571
                  47,            0.036025,           0.0077739,            0.019723,             0.64623,             0.66468,             0.69714,              0.3634,            0.035555,           0.0077438,            0.025625,           0.0047429,           0.0047429,           0.0047429
                  48,             0.03594,           0.0077526,            0.019172,             0.61616,             0.64202,             0.65344,              0.3338,            0.038593,           0.0079399,            0.023468,           0.0046286,           0.0046286,           0.0046286
                  49,             0.03633,           0.0077901,            0.017758,             0.71849,             0.73563,             0.76638,             0.38922,            0.036053,           0.0075583,            0.019897,           0.0045143,           0.0045143,           0.0045143
                  50,            0.036379,           0.0077635,            0.016829,             0.62268,             0.66645,             0.65545,             0.33367,            0.037155,            0.008452,            0.022643,              0.0044,              0.0044,              0.0044
                  51,            0.035552,           0.0077394,            0.016932,             0.72086,             0.71377,             0.73755,             0.39655,            0.035662,           0.0076311,            0.019768,           0.0042857,           0.0042857,           0.0042857
                  52,            0.035998,           0.0076647,            0.015624,             0.71188,             0.73205,             0.76039,             0.42136,            0.035272,           0.0078523,            0.019061,           0.0041714,           0.0041714,           0.0041714
                  53,            0.035413,           0.0075607,            0.015604,             0.67906,             0.65855,             0.70373,             0.37844,            0.034819,           0.0079973,            0.021499,           0.0040571,           0.0040571,           0.0040571
                  54,            0.036128,           0.0075097,            0.014998,             0.73938,             0.72613,             0.75376,             0.39129,            0.036868,           0.0076676,            0.019522,           0.0039429,           0.0039429,           0.0039429
                  55,            0.037103,           0.0076072,            0.013877,             0.69651,             0.65561,             0.70633,             0.36369,            0.037227,           0.0084949,            0.020151,           0.0038286,           0.0038286,           0.0038286
